X,Y,Z
-38.49,-93.98,-20.66
-38.49,-93.96,-20.66
-38.5,-93.96,-20.66
-38.5,-93.96,-20.66
-38.5,-93.94,-20.66
-38.51,-93.92,-20.66
-38.51,-93.92,-20.66
-38.51,-93.9,-20.66
-38.51,-93.89,-20.66
-38.51,-93.89,-20.66
-38.52,-93.87,-20.76
-38.52,-93.85,-20.76
-38.53,-93.85,-20.76
-38.53,-93.83,-20.76
-38.54,-93.81,-20.76
-38.54,-93.81,-20.76
-38.55,-93.79,-20.76
-38.55,-93.79,-20.76
-38.55,-93.77,-20.76
-38.56,-93.77,-20.76
-38.56,-93.76,-20.76
-38.57,-93.74,-20.76
-38.57,-93.74,-20.76
-38.56,-93.74,-20.76
-38.55,-93.76,-20.76
-38.53,-93.77,-20.76
-38.52,-93.81,-20.76
-38.48,-93.87,-20.76
-38.46,-93.94,-20.76
-38.41,-94.02,-20.76
-38.37,-94.13,-20.76
-38.32,-94.24,-20.86
-38.25,-94.33,-20.86
-38.19,-94.46,-20.86
-38.11,-94.63,-20.86
-38.04,-94.74,-20.86
-37.96,-94.87,-20.86
-37.87,-95.02,-20.86
-37.79,-95.17,-20.96
-37.71,-95.33,-20.96
-37.61,-95.48,-20.96
-37.52,-95.63,-21.06
-37.41,-95.8,-21.06
-37.32,-95.95,-21.16
-37.21,-96.11,-21.16
-37.11,-96.28,-21.16
-37.0,-96.45,-21.26
-36.89,-96.61,-21.26
-36.77,-96.78,-21.26
-36.67,-96.95,-21.36
-36.55,-97.12,-21.36
-36.44,-97.28,-21.36
-36.33,-97.43,-21.46
-36.23,-97.6,-21.46
-36.14,-97.77,-21.46
-36.04,-97.93,-21.56
-35.95,-98.12,-21.56
-35.87,-98.29,-21.56
-35.78,-98.47,-21.56
-35.7,-98.64,-21.66
-35.62,-98.82,-21.66
-35.55,-98.99,-21.66
-35.48,-99.18,-21.76
-35.41,-99.36,-21.76
-35.33,-99.53,-21.76
-35.25,-99.7,-21.76
-35.18,-99.88,-21.86
-35.1,-100.05,-21.86
-35.03,-100.22,-21.86
-34.96,-100.38,-21.96
-34.88,-100.55,-21.96
-34.8,-100.72,-21.96
-34.72,-100.88,-21.96
-34.66,-101.05,-21.96
-34.58,-101.22,-22.06
-34.51,-101.39,-22.06
-34.43,-101.55,-22.06
-34.36,-101.7,-22.06
-34.27,-101.87,-22.06
-34.21,-102.02,-22.16
-34.13,-102.2,-22.16
-34.06,-102.35,-22.16
-33.99,-102.48,-22.16
-33.92,-102.59,-22.16
-33.85,-102.72,-22.16
-33.8,-102.85,-22.16
-33.73,-102.96,-22.16
-33.65,-103.09,-22.16
-33.59,-103.26,-22.16
-33.52,-103.39,-22.16
-33.45,-103.5,-22.16
-33.4,-103.63,-22.26
-33.33,-103.78,-22.26
-33.27,-103.93,-22.26
-33.21,-104.06,-22.26
-33.14,-104.19,-22.26
-33.08,-104.34,-22.26
-33.03,-104.47,-22.26
-32.97,-104.6,-22.26
-32.9,-104.75,-22.26
-32.84,-104.88,-22.26
-32.78,-105.01,-22.26
-32.72,-105.15,-22.26
-32.66,-105.28,-22.26
-32.61,-105.43,-22.26
-32.55,-105.56,-22.26
-32.49,-105.69,-22.26
-32.43,-105.84,-22.26
-32.37,-105.97,-22.26
-32.31,-106.12,-22.26
-32.25,-106.25,-22.36
-32.19,-106.4,-22.36
-32.13,-106.53,-22.36
-32.07,-106.68,-22.36
-31.99,-106.81,-22.36
-31.93,-106.94,-22.36
-31.86,-107.07,-22.36
-31.8,-107.21,-22.36
-31.75,-107.34,-22.36
-31.69,-107.49,-22.36
-31.63,-107.62,-22.36
-31.57,-107.77,-22.36
-31.51,-107.9,-22.36
-31.45,-108.03,-22.36
-31.39,-108.18,-22.36
-31.33,-108.31,-22.36
-31.27,-108.44,-22.36
-31.21,-108.57,-22.36
-31.14,-108.72,-22.36
-31.08,-108.85,-22.46
-31.01,-108.98,-22.46
-30.96,-109.13,-22.46
-30.9,-109.26,-22.46
-30.83,-109.39,-22.46
-30.77,-109.53,-22.46
-30.7,-109.66,-22.46
