Latitude,Longitude,Altitude
-28.38852362560198,-115.49409901363427,-20.25810808231489
-28.378762136885165,-115.49409908383973,-20.258108039027654
-28.36900064796737,-115.49409915368761,-20.258107995960877
-28.359239292779336,-115.51266337295245,-20.25810828873756
-28.349477804272553,-115.51266344307234,-20.258108245503067
-28.339716315345704,-115.51266351336332,-20.258108202163093
-28.3299543836073,-115.51266177326805,-20.35810815846942
-28.320193028200194,-115.53122599306151,-20.35810845092017
-28.31043140596364,-115.51266191376448,-20.35810807184221
-28.30067005056558,-115.53122613311484,-20.358108364566164
-28.30067005056558,-115.53122613311484,-20.358108364566164
-28.300669917255867,-115.51266198352683,-20.358108028828177
-28.300669607964053,-115.53122432264304,-20.458108364265208
-28.30067005056558,-115.53122613311484,-20.358108364566164
-28.29090811945726,-115.53122439276294,-20.45810832103072
-28.281146631160503,-115.53122446279733,-20.458108277848957
-28.27138514265372,-115.53122453291722,-20.45810823461447
-28.261623654146923,-115.53122460303712,-20.458108191379978
-28.261623787036577,-115.54978875328501,-20.4581085278052
-28.271385275744347,-115.54978868352266,-20.458108570819242
-28.261623787036577,-115.54978875328501,-20.4581085278052
-28.261623787036577,-115.54978875328501,-20.4581085278052
-28.261623787036577,-115.54978875328501,-20.4581085278052
-28.261623654146923,-115.53122460303712,-20.458108191379978
-28.261623654146923,-115.53122460303712,-20.458108191379978
-28.261623345065132,-115.54978694255661,-20.558108527662476
-28.271384833571922,-115.5497868724367,-20.558108570896977
-28.271384833571922,-115.5497868724367,-20.558108570896977
-28.271384833571922,-115.5497868724367,-20.558108570896977
-28.271384833571922,-115.5497868724367,-20.558108570896977
-28.26162321196545,-115.53122279239426,-20.558108191184502
-28.271384700262214,-115.53122272235989,-20.55810823436625
-28.271384700262214,-115.53122272235989,-20.55810823436625
-28.271384700262214,-115.53122272235989,-20.55810823436625
-28.271384700262214,-115.53122272235989,-20.55810823436625
-28.271384700262214,-115.53122272235989,-20.55810823436625
-28.271384700262214,-115.53122272235989,-20.55810823436625
-28.281146188969984,-115.53122265259753,-20.558108277380292
-28.271384700262214,-115.53122272235989,-20.55810823436625
-28.28114605565122,-115.5126585039414,-20.558107942161868
-28.28114605565122,-115.5126585039414,-20.558107942161868
-28.28114605565122,-115.5126585039414,-20.558107942161868
-28.28114605565122,-115.5126585039414,-20.558107942161868
-28.28114605565122,-115.5126585039414,-20.558107942161868
-28.290907543747004,-115.51265843354949,-20.558107985564078
-28.290907410620175,-115.49409428569399,-20.558107649851983
-28.30066889891694,-115.49409421565963,-20.55810769303374
-28.300669032043757,-115.51265836351513,-20.558108028745835
-28.310430387213696,-115.49409414562527,-20.558107736215483
-28.3299534973541,-115.51265815324095,-20.55810815839657
-28.349476474157644,-115.51265801308668,-20.55810824481282
-28.378761072585753,-115.53122195111106,-20.55810870990245
-28.398284049197372,-115.53122181015615,-20.55810879681235
-28.43733013676236,-115.54978567878162,-20.558109306880198
-28.476376224573563,-115.56834954554918,-20.55810981809357
-28.52518380151259,-115.58691334091696,-20.558110370048226
-28.573991378487815,-115.60547713597873,-20.55811092547394
-28.622799090854933,-115.64260508017054,-20.55811181582588
-28.68136815781618,-115.66116880358175,-20.558112414335717
-28.749698849570528,-115.6982966034912,-20.5581133936492
-28.808268053256228,-115.73542447295208,-20.558114331172796
-28.866837258814094,-115.7725523430181,-20.558115269417428
-28.935167817934047,-115.79111599086747,-20.55811591451716
-29.01326000332633,-115.82824371515076,-20.55811694264841
-29.081590838115012,-115.88393565858944,-20.558118263623832
-29.159683026712003,-115.92106337844234,-20.55811929339265
-29.237775216980175,-115.95819109854284,-20.558120324102937
-29.325629036305337,-116.01388289081794,-20.558121739376837
-29.403721368119555,-116.0695747559326,-20.558123110833485
-29.491574592089407,-116.10670057912247,-20.658124190162738
-29.579428416929588,-116.16239236700386,-20.65812560923984
-29.657520754084995,-116.21808422603794,-20.658126985539766
-29.755135933645988,-116.25521178595787,-20.6581281150141
-29.842989765480432,-116.31090356840366,-20.658129538536812
-29.930843599661383,-116.36659534862497,-20.658130964525206
-30.02845892707832,-116.42228705250503,-20.658132439772302
-30.11631276634519,-116.47797882796917,-20.65813386759973
-30.20416675029043,-116.5522347490282,-20.658135638003735
-30.30178208598894,-116.60792644514137,-20.658137118039733
-30.379874585354596,-116.68218243828551,-20.658138845091642
-30.467728578778257,-116.75643835563245,-20.6581406210668
-30.555582576447712,-116.83069426954198,-20.658142400255528
-30.64343657623555,-116.90495018170995,-20.65814418051808
-30.721529088257185,-116.97920616804086,-20.65814591395913
-30.809383240047246,-117.07202622609432,-20.658148040995535
-30.887475758204943,-117.1462822087068,-20.658149778917554
-30.965568424803422,-117.23910233772702,-20.658151862197307
-31.033899602750353,-117.3319225439566,-20.65815389787135
-31.111992276708868,-117.4247426705175,-20.658155984855718
-31.180323461230003,-117.51756287246016,-20.65815802645536
-31.258416142155646,-117.61038299638113,-20.658160119443956
-31.326747333589616,-117.70320319785358,-20.658162164615895
-31.39507803717494,-117.79602155190662,-20.758164212573796
-31.463409381715557,-117.90740589520078,-20.758166604837
-31.531740581824025,-118.00022609201974,-20.758168657254686
-31.590310290842027,-118.09304636308669,-20.758170663892564
-31.65864149706845,-118.18586655609577,-20.75817271865934
-31.726972855927187,-118.29725089571133,-20.758175121943687
-31.795304218977435,-118.40863523503681,-20.758177527595123
-31.844112444630774,-118.50145558135748,-20.75817949220962
-31.912443814420016,-118.61283991852596,-20.758181902473396
-31.971013691795296,-118.72422433404608,-20.758184265521287
-32.02958357279534,-118.83560874643109,-20.758186632690467
-32.08815345670864,-118.94699315943663,-20.758189000571164
-32.14672269026581,-119.03981155782631,-20.8581910255685
-32.20529257969413,-119.15119596692692,-20.858193398045152
-32.254100975658346,-119.26258045627324,-20.858195725420437
-32.3224323688693,-119.37396478351783,-20.858198152744308
-32.38100226839706,-119.48534919104802,-20.858200533848127
-32.439572170892376,-119.59673359654016,-20.85820291730267
-32.49814207718629,-119.70811800009523,-20.858205303045693
-32.556712139865866,-119.83806655200155,-20.858208040606996
-32.62504355199746,-119.9494508750607,-20.858210480358643
-32.683613314498345,-120.04227113046329,-20.858212525102076
-32.74218323406023,-120.15365553076747,-20.858214921602524
-32.81051481123387,-120.28360399743293,-20.858217718286326
-32.86908473791862,-120.39498839767018,-20.85822011920454
-32.937416013269555,-120.48780856674388,-20.85822222374135
-32.99598594691237,-120.5991929638067,-20.85822462880511
-33.064317384337826,-120.71057727852471,-20.858227087923332
-33.13264866978821,-120.8033974440728,-20.85822919791633
-33.19121876952323,-120.93334598626939,-20.858231963346917
-33.25955006191359,-121.02616614952922,-20.858234076939056
-33.32788099279732,-121.13754856124997,-20.958236545758318
-33.3962124477456,-121.24893286883658,-20.958239019120747
-33.464543749440544,-121.34175302669749,-20.958241139324116
-33.53287521195888,-121.45313733173921,-20.958243616443916
-33.610968022723355,-121.54595740334454,-20.958245793113065
-33.66953798988733,-121.65734178989061,-20.95824822544958
-33.767153814508866,-121.75016169321694,-20.958250509158482
-33.85500814022366,-121.8429816771492,-20.95825274535568
-33.93310096637448,-121.93580174229567,-20.958254931477846
-34.03071680368819,-122.02862163801402,-20.95825722425419
-34.12833248523728,-122.10287738556758,-20.958259165097267
-34.23570967421186,-122.1771330443111,-20.958261160698797
-34.34308616930868,-122.23282263881556,-21.0582628024369
-34.46022470645508,-122.28851405707306,-21.058264500840323
-34.56760174274115,-122.34420555834157,-21.058266146966723
-34.694501627786,-122.3813327393002,-21.058267546206906
-34.81163984660793,-122.39989585447182,-21.058268538344905
-34.93853973601622,-122.43702302623285,-21.058269944350258
-35.06543929719252,-122.43702189972305,-21.058270638933074
-35.19233885866028,-122.4370207691399,-21.05827133602744
-35.31923825336763,-122.41845548632392,-21.05827167932032
-35.4363761428131,-122.39989028836098,-21.058271970294577
-35.55351403069597,-122.38132508581097,-21.05827226519125
-35.68041342270723,-122.36275979271787,-21.058272615914944
-35.79755113972865,-122.32563043477178,-21.05827255896054
-35.91468885513319,-122.28850107538594,-21.058272505082094
-36.031826737461,-122.26993585879089,-21.058272807544533
-36.15872595292908,-122.23280640392639,-21.058272812536288
-36.27586383251555,-122.21424117926964,-21.05827312106352
-36.39300171130714,-122.19567595322837,-21.058273431538538
-36.51990092098299,-122.15854648573362,-21.05827344322372
-36.637038796631295,-122.13998125091557,-21.058273760204443
-36.763938175394024,-122.12141592323218,-21.058274132255796
-36.89083755281324,-122.10285058994427,-21.058274507762768
-37.017736755125206,-122.06572110714168,-21.058274532168802
-37.1446363045536,-122.06571991335377,-21.05827526823392
-37.27153509533738,-122.04715265538918,-21.158275651491287
-37.388673138462806,-122.04715154643888,-21.15827633524728
-37.52533418897582,-122.04715024796832,-21.158277135857574
-37.66199506212556,-122.0285847958215,-21.158277582462276
-37.79865628987133,-122.04714763701932,-21.158278745715123
-37.94507884383355,-122.04714623026663,-21.158279613089952
-38.11102458439878,-122.0657087771005,-21.158280954559203
-38.25744731940141,-122.0842715051921,-21.158282183174542
-38.42339288235521,-122.08426989156845,-21.15828317810177
-38.58933862688903,-122.10283241745219,-21.15828453248845
-38.75528455530411,-122.13995908283428,-21.15828624743429
-38.93099180767964,-122.15852149952576,-21.158287669146674
-39.10669924563475,-122.19564805414512,-21.158289452386533
-39.28240668685792,-122.23277460172127,-21.15829123996911
-39.45811431785218,-122.28846528595763,-21.158293389860773
-39.6435834574197,-122.34415586597667,-21.158295604010682
-39.819291285545106,-122.4184106844139,-21.15829811991607
-40.01452150359897,-122.49266337640339,-21.258300763603252
-40.190229342341496,-122.56691817469797,-21.258303291928172
-40.375698883256035,-122.65973701227475,-21.25830624369761
-40.561168432461216,-122.75255584359671,-21.25830920370013
-40.72711517154046,-122.86393901069252,-21.258312401054134
-40.92234662981155,-122.99388601679435,-21.2583161497153
-41.117577713968245,-123.08670471836436,-21.258319193002592
-41.312809001667425,-123.19808755538003,-21.258322599347856
-41.49827859829702,-123.2909063422477,-21.258325594418835
-41.70327141368009,-123.40228905911175,-21.258329079223607
-41.87897971906648,-123.51367207490243,-21.25833238299873
-42.06444974026767,-123.64361912730236,-21.258336117337038
-42.24991977354,-123.77356617044146,-21.258339858479538
-42.445151327291924,-123.90351309895004,-21.258343673583212
-42.620860077604554,-124.05202437628354,-21.258347726744326
-42.79656884104752,-124.20053564544058,-21.258351790417514
-42.98203912701605,-124.3490468012815,-21.258355926147324
-43.14798661119839,-124.5161223075699,-21.258360301122394
-43.30417192212242,-124.68319596146193,-21.35836461958707
-43.46035792118035,-124.85027155827052,-21.358368944219862
-43.616544344237944,-125.05447544428606,-21.35837400665215
-43.76296817573356,-125.22154917446511,-21.458378282456295
-43.92891572417163,-125.38862464360922,-21.458382700027997
-44.09486370233441,-125.59282839699219,-21.4583878584624
-44.26081148917966,-125.77846799618092,-21.458392662116474
-44.416997778957956,-125.96410769954181,-21.45839740701075
-44.582945109277404,-126.16830945595837,-21.558402595885433
-44.729369913255994,-126.3539492532891,-21.55840729049868
-44.87579494250238,-126.55815319123917,-21.558412363580018
-45.022220199071604,-126.78092127067994,-21.558417813498075
-45.15888303775729,-126.98512332001593,-21.65842283817649
-45.2955468080977,-127.20789149648465,-21.658428241398582
-45.42244907755447,-127.43065978092636,-21.658433584611494
-45.549351361767506,-127.6534280606322,-21.658438939497437
-45.666492357717765,-127.8947605953005,-21.65844460672632
-45.773870918869804,-128.11752708594753,-21.758449844166748
-45.88125020644673,-128.3402955795146,-21.758455090166834
-45.98862972267,-128.58162821340136,-21.758460719196236
-46.08624722847664,-128.84152308445837,-21.85846666227296
-46.174103729353185,-129.08285593826147,-21.858472173212462
-46.25219872011391,-129.3241889033581,-21.8584776220954
-46.32053169332417,-129.58408409847334,-21.958483390529317
-46.38886539851437,-129.8439813154415,-21.958489167884622
-46.45719911318299,-130.10387853260792,-21.958494957153064
-46.496248267442944,-130.3637760937945,-21.95850054634107
-46.545058731598566,-130.60510939560737,-21.958505835753137
-46.603629996905994,-130.84644053146855,-22.05851120509218
-46.632917643166564,-131.10633820041096,-22.058516753004994
-46.662204853749266,-131.32910758421124,-22.058521545294333
-46.681730031698955,-131.57043916383603,-22.158526660712035
-46.69149441538253,-131.81177291760352,-22.158531710846617
-46.701258800626796,-132.05310667074042,-22.158536771217122
-46.70126092892797,-132.29443846711465,-22.25854177049756
-46.69150203981556,-132.5172083053762,-22.25854632086974
-46.68174336982391,-132.75854228662251,-22.258551264663367
-2.813468620745013,-180.20878088855142,-21.759544947606017
-2.5499040997253957,-180.11596034999096,-21.75954221637646
-2.305862873257567,-180.00457563727502,-21.759538980743955
0.03693219964685568,-178.51945041121314,-21.559496849153504
3.3461242141417458,-172.56036675671467,-21.259333813754566
3.619448125377005,-170.7225161250053,-21.259284533618995
3.8244411179872344,-169.5158491369706,-21.159252486243304
3.8732489316871437,-169.21882275809784,-21.159244633847777
3.9318183396446145,-168.90323222377094,-21.159236309283358
4.04895716481532,-168.30917944174217,-21.15922068730056
6.284359710698212,-163.22260312128645,-21.05909037325138
8.256199838411476,-161.1434176370829,-20.95903977691573
8.50023941573172,-160.9392115065579,-20.959034943007183
8.734517327136956,-160.71644123555387,-20.95902964410827
8.949272014365874,-160.4936709956957,-20.95902433694667
