Latitude,Longitude,Altitude
-25.821215285831414,-115.17837090745392,-28.858091493982343
-25.811453932383095,-115.19693509538982,-28.85809178966393
-25.801692457747215,-115.19693515942117,-28.85809175018352
-25.801692457747215,-115.19693515942117,-28.85809175018352
-25.79193098291036,-115.19693522309495,-28.85809171092358
-25.791930579587955,-115.19693341830511,-28.958091710401618
-25.79193098291036,-115.19693522309495,-28.85809171092358
-25.782169508064452,-115.19693528721183,-28.858091671390433
-25.782169508064452,-115.19693528721183,-28.858091671390433
-25.77240803301757,-115.19693535097113,-28.858091632077745
-25.762646557970683,-115.19693541473046,-28.858091592765057
-25.762646557970683,-115.19693541473046,-28.858091592765057
-25.762646557970683,-115.19693541473046,-28.858091592765057
-25.752885083334803,-115.19693547876179,-28.858091553284652
-25.752885204495225,-115.21549960448444,-28.8580918884198
-25.752885204495225,-115.21549960448444,-28.8580918884198
-25.743123729658365,-115.2154996681582,-28.858091849159855
-25.743123729658365,-115.2154996681582,-28.858091849159855
-25.73336225462053,-115.21549973147444,-28.858091810120364
-25.73336225462053,-115.21549973147444,-28.858091810120364
-25.73336225462053,-115.21549973147444,-28.858091810120364
-25.723600779783666,-115.2154997951482,-28.858091770860426
-25.723600779783666,-115.2154997951482,-28.858091770860426
-25.71383930473678,-115.21549985890753,-28.858091731547738
-25.71383930473678,-115.21549985890753,-28.858091731547738
-25.704077829899926,-115.21549992258132,-28.858091692287786
-25.704077829899926,-115.21549992258132,-28.858091692287786
-25.704077829899926,-115.21549992258132,-28.858091692287786
-25.694316355063062,-115.2154999862551,-28.85809165302784
-25.694316355063062,-115.2154999862551,-28.85809165302784
-25.694316355063062,-115.2154999862551,-28.85809165302784
-25.694316355063062,-115.2154999862551,-28.85809165302784
-25.694316355063062,-115.2154999862551,-28.85809165302784
-25.694316355063062,-115.2154999862551,-28.85809165302784
-25.694316355063062,-115.2154999862551,-28.85809165302784
-25.68455488001618,-115.21550005001443,-28.858091613715153
-25.68455488001618,-115.21550005001443,-28.858091613715153
-25.69431647603155,-115.23406411117709,-28.858091988656646
-25.69431647603155,-115.23406411117709,-28.858091988656646
